phase,dataset,missing_mechanism,missing_rate,preprocessing,train_missing_fraction_before,train_missing_fraction_after,test_missing_fraction_after,imputation_time_seconds,n_train,n_test,n_features_after,error
3.3,slovak_manufacture_13,MAR,20,mean,0.9262937595129376,0.0,0.0,0.011737585067749023,3285,822,64,
3.3,slovak_manufacture_13,MAR,20,median,0.9262937595129376,0.0,0.0,0.013832330703735352,3285,822,64,
3.3,slovak_manufacture_13,MAR,20,knn,0.9262937595129376,0.0,0.0,1.9922664165496826,3285,822,64,
3.3,slovak_manufacture_13,MAR,30,mean,0.9262937595129376,0.0,0.0,0.011182546615600586,3285,822,64,
3.3,slovak_manufacture_13,MAR,30,median,0.9262937595129376,0.0,0.0,0.01232767105102539,3285,822,64,
3.3,slovak_manufacture_13,MAR,30,knn,0.9262937595129376,0.0,0.0,1.982990026473999,3285,822,64,
3.3,slovak_manufacture_13,MAR,40,mean,0.9262937595129376,0.0,0.0,0.01157999038696289,3285,822,64,
3.3,slovak_manufacture_13,MAR,40,median,0.9262937595129376,0.0,0.0,0.012904882431030273,3285,822,64,
3.3,slovak_manufacture_13,MAR,40,knn,0.9262937595129376,0.0,0.0,1.9779078960418701,3285,822,64,
3.3,slovak_manufacture_13,MNAR,5,mean,0.9262937595129376,0.0,0.0,0.011192083358764648,3285,822,64,
3.3,slovak_manufacture_13,MNAR,5,median,0.9262937595129376,0.0,0.0,0.012300252914428711,3285,822,64,
3.3,slovak_manufacture_13,MNAR,5,knn,0.9262937595129376,0.0,0.0,1.957495927810669,3285,822,64,
3.3,slovak_manufacture_13,MNAR,10,mean,0.9262937595129376,0.0,0.0,0.01304173469543457,3285,822,64,
3.3,slovak_manufacture_13,MNAR,10,median,0.9262937595129376,0.0,0.0,0.01323246955871582,3285,822,64,
3.3,slovak_manufacture_13,MNAR,10,knn,0.9262937595129376,0.0,0.0,1.9611456394195557,3285,822,64,
3.3,slovak_manufacture_13,MNAR,15,mean,0.9262937595129376,0.0,0.0,0.011071205139160156,3285,822,64,
3.3,slovak_manufacture_13,MNAR,15,median,0.9262937595129376,0.0,0.0,0.012988567352294922,3285,822,64,
3.3,slovak_manufacture_13,MNAR,15,knn,0.9262937595129376,0.0,0.0,1.9600675106048584,3285,822,64,
3.3,slovak_manufacture_13,MNAR,20,mean,0.9262937595129376,0.0,0.0,0.010678529739379883,3285,822,64,
3.3,slovak_manufacture_13,MNAR,20,median,0.9262937595129376,0.0,0.0,0.012732267379760742,3285,822,64,
3.3,slovak_manufacture_13,MNAR,20,knn,0.9262937595129376,0.0,0.0,1.9509289264678955,3285,822,64,
3.3,slovak_manufacture_13,MNAR,30,mean,0.9262937595129376,0.0,0.0,0.01206207275390625,3285,822,64,
3.3,slovak_manufacture_13,MNAR,30,median,0.9262937595129376,0.0,0.0,0.012513399124145508,3285,822,64,
3.3,slovak_manufacture_13,MNAR,30,knn,0.9262937595129376,0.0,0.0,1.959242582321167,3285,822,64,
3.3,slovak_manufacture_13,MNAR,40,mean,0.9262937595129376,0.0,0.0,0.010699272155761719,3285,822,64,
3.3,slovak_manufacture_13,MNAR,40,median,0.9262937595129376,0.0,0.0,0.012572765350341797,3285,822,64,
3.3,slovak_manufacture_13,MNAR,40,knn,0.9262937595129376,0.0,0.0,2.0138463973999023,3285,822,64,
