phase,dataset,preprocessing,model,best_cv_score,accuracy,f1,precision,recall,roc_auc,has_error,error,best_params_json
4.1,polish_1year,mice_indicator,logistic_regression,0.9587248309511667,0.9623044096728307,0.9527367404033108,0.9507730721179156,0.9623044096728307,0.8873137190444882,False,,"{""C"": 10, ""penalty"": ""l2""}"
4.1,polish_1year,mice_indicator,random_forest,0.9711823230597462,0.9772403982930299,0.9740891421706362,0.9753117866948955,0.9772403982930299,0.9367192636423406,False,,"{""max_depth"": null, ""min_samples_split"": 10, ""n_estimators"": 100}"
4.1,slovak_manufacture_13,median,logistic_regression,0.9897131012382381,0.9914841849148418,0.9884558275998911,0.9854459133867369,0.9914841849148418,0.9877450980392157,False,,"{""C"": 0.1, ""penalty"": ""l2""}"
4.1,slovak_manufacture_13,median,random_forest,0.992788334691608,0.9914841849148418,0.9900726950750389,0.9890733759346898,0.9914841849148418,0.9955065359477123,False,,"{""max_depth"": null, ""min_samples_split"": 10, ""n_estimators"": 50}"
4.1,slovak_manufacture_13,mice,logistic_regression,0.9890545826384323,0.9562043795620438,0.970832581813589,0.9866459161045921,0.9562043795620438,0.7854370915032679,False,,"{""C"": 0.001, ""penalty"": ""l2""}"
4.1,slovak_manufacture_13,mice,random_forest,0.9903197256659022,0.9927007299270073,0.9908848357218069,0.9902973117322413,0.9927007299270073,0.982843137254902,False,,"{""max_depth"": 10, ""min_samples_split"": 2, ""n_estimators"": 50}"
4.1,slovak_manufacture_13,mice_indicator,logistic_regression,0.9890545826384323,0.9574209245742092,0.9714745473265451,0.9866612172435545,0.9574209245742092,0.7888071895424836,False,,"{""C"": 0.001, ""penalty"": ""l2""}"
4.1,slovak_manufacture_13,mice_indicator,random_forest,0.9895607793795849,0.9927007299270073,0.9890644635170184,0.9854547391976132,0.9927007299270073,0.9736519607843137,False,,"{""max_depth"": 10, ""min_samples_split"": 10, ""n_estimators"": 50}"
4.2,taiwan_bankruptcy,median,svm,0.9592684795123676,0.9655425219941349,0.9532813667720694,0.947006306266534,0.9655425219941349,0.874810606060606,False,,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}"
4.2,taiwan_bankruptcy,median,mlp,0.9613667668560313,0.967741935483871,0.9518773135906928,0.9365244536940688,0.967741935483871,0.547382920110193,False,,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50], ""learning_rate"": ""constant""}"
4.2,taiwan_bankruptcy,mice,svm,0.9592684795123676,0.9655425219941349,0.9532813667720694,0.947006306266534,0.9655425219941349,0.874810606060606,False,,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}"
4.2,taiwan_bankruptcy,mice,mlp,0.9613667668560313,0.967741935483871,0.9518773135906928,0.9365244536940688,0.967741935483871,0.547382920110193,False,,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50], ""learning_rate"": ""constant""}"
4.2,polish_1year,median,svm,0.9427476219462058,0.9601706970128022,0.9420542687672777,0.9246088193456614,0.9601706970128022,0.48327580539118997,False,,"{""C"": 10, ""gamma"": ""auto"", ""kernel"": ""poly""}"
4.2,polish_1year,median,mlp,0.9424722605808371,0.9615931721194879,0.9427657496051832,0.9246614286668191,0.9615931721194879,0.5758683979837825,False,,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50], ""learning_rate"": ""constant""}"
4.2,polish_1year,mice,svm,0.9424722605808371,0.9615931721194879,0.9427657496051832,0.9246614286668191,0.9615931721194879,0.48214579224194615,False,,"{""C"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}"
4.2,polish_1year,mice,mlp,0.9424722605808371,0.9615931721194879,0.9427657496051832,0.9246614286668191,0.9615931721194879,0.48875465702388776,False,,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50], ""learning_rate"": ""constant""}"
4.2,slovak_manufacture_13,median,svm,0.9890545826384323,0.9927007299270073,0.9890644635170184,0.9854547391976132,0.9927007299270073,0.9720179738562091,False,,"{""C"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}"
4.2,slovak_manufacture_13,median,mlp,0.9890545826384323,0.9927007299270073,0.9890644635170184,0.9854547391976132,0.9927007299270073,0.32638888888888895,False,,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50, 25], ""learning_rate"": ""constant""}"
4.2,slovak_manufacture_13,mice,svm,0.9890545826384323,0.9927007299270073,0.9890644635170184,0.9854547391976132,0.9927007299270073,0.8907271241830065,False,,"{""C"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}"
4.2,slovak_manufacture_13,mice,mlp,0.9890545826384323,0.9927007299270073,0.9890644635170184,0.9854547391976132,0.9927007299270073,0.14991830065359477,False,,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50], ""learning_rate"": ""constant""}"
