phase,dataset,model,model_type,preprocessing,accuracy,f1,precision,recall,roc_auc,training_time_seconds,missing_mechanism,missing_rate,device,error
3.4,polish_1year,logistic_regression,Classical,median,0.9623044096728307,0.9445043150100134,0.9637263785606173,0.9623044096728307,0.6800213675213675,0.017203807830810547,MNAR,5,cpu,
3.4,polish_1year,random_forest,Classical,median,0.9630156472261735,0.9496049690684665,0.9518935300785313,0.9630156472261735,0.896812678062678,0.37917470932006836,MNAR,5,cpu,
3.4,polish_1year,logistic_regression,Classical,knn,0.9623044096728307,0.9445043150100134,0.9637263785606173,0.9623044096728307,0.680541858426474,0.018716812133789062,MNAR,5,cpu,
3.4,polish_1year,random_forest,Classical,knn,0.9630156472261735,0.947409848908016,0.9554187981810176,0.9630156472261735,0.8583511396011395,0.3860294818878174,MNAR,5,cpu,
3.4,polish_1year,logistic_regression,Classical,mean,0.9601706970128022,0.9433644526701712,0.934843639344728,0.9601706970128022,0.6874589086127547,0.017345190048217773,MNAR,10,cpu,
3.4,polish_1year,random_forest,Classical,mean,0.9665718349928877,0.9539793264509887,0.9676948684134268,0.9665718349928877,0.9084415406530791,0.3341543674468994,MNAR,10,cpu,
3.4,polish_1year,logistic_regression,Classical,median,0.9615931721194879,0.9441237591684464,0.9444971287076551,0.9615931721194879,0.6839935349550734,0.015001535415649414,MNAR,10,cpu,
3.4,polish_1year,random_forest,Classical,median,0.9630156472261735,0.947409848908016,0.9554187981810176,0.9630156472261735,0.8905119986850756,0.3920156955718994,MNAR,10,cpu,
3.4,polish_1year,logistic_regression,Classical,knn,0.9608819345661451,0.9437438202363219,0.9380701179853372,0.9608819345661451,0.6775627328511944,0.018276691436767578,MNAR,10,cpu,
3.4,polish_1year,random_forest,Classical,knn,0.9623044096728307,0.9457894995004559,0.9515577775321932,0.9623044096728307,0.8544337606837606,0.38361525535583496,MNAR,10,cpu,
3.4,polish_1year,logistic_regression,Classical,mean,0.9594594594594594,0.9429856139947441,0.9328973513127687,0.9594594594594594,0.6933212798597413,0.018909692764282227,MNAR,15,cpu,
3.4,polish_1year,random_forest,Classical,mean,0.965149359886202,0.9520209999169881,0.9615208354909646,0.965149359886202,0.9018669186938418,0.35184478759765625,MNAR,15,cpu,
3.4,polish_1year,logistic_regression,Classical,median,0.9594594594594594,0.9429856139947441,0.9328973513127687,0.9594594594594594,0.6974441157133464,0.017740964889526367,MNAR,15,cpu,
3.4,polish_1year,random_forest,Classical,median,0.9637268847795164,0.9478351787645894,0.9650454370790493,0.9637268847795164,0.8721304514573744,0.3608438968658447,MNAR,15,cpu,
3.4,polish_1year,logistic_regression,Classical,knn,0.9601706970128022,0.9433644526701712,0.934843639344728,0.9601706970128022,0.6984029147490686,0.018764257431030273,MNAR,15,cpu,
3.4,polish_1year,random_forest,Classical,knn,0.9615931721194879,0.9441237591684464,0.9444971287076551,0.9615931721194879,0.7990357221126452,0.43027162551879883,MNAR,15,cpu,
3.4,polish_1year,logistic_regression,Classical,mean,0.9601706970128022,0.9433644526701712,0.934843639344728,0.9601706970128022,0.6969647161954854,0.01812911033630371,MNAR,20,cpu,
3.4,polish_1year,random_forest,Classical,mean,0.9615931721194879,0.9441237591684464,0.9444971287076551,0.9615931721194879,0.9106193841770764,0.3246176242828369,MNAR,20,cpu,
3.4,polish_1year,logistic_regression,Classical,median,0.9601706970128022,0.9433644526701712,0.934843639344728,0.9601706970128022,0.6967181678720141,0.015757083892822266,MNAR,20,cpu,
3.4,polish_1year,random_forest,Classical,median,0.9623044096728307,0.9457894995004559,0.9515577775321932,0.9623044096728307,0.8411543940390094,0.3671553134918213,MNAR,20,cpu,
3.4,polish_1year,logistic_regression,Classical,knn,0.9601706970128022,0.9433644526701712,0.934843639344728,0.9601706970128022,0.6924720578566733,0.017964601516723633,MNAR,20,cpu,
3.4,polish_1year,random_forest,Classical,knn,0.9608819345661451,0.9424101382179385,0.9246351427284186,0.9608819345661451,0.7942211812404121,0.44576454162597656,MNAR,20,cpu,
3.4,polish_1year,logistic_regression,Classical,mean,0.9608819345661451,0.9437438202363219,0.9380701179853372,0.9608819345661451,0.7046693513039667,0.01896500587463379,MNAR,30,cpu,
3.4,polish_1year,random_forest,Classical,mean,0.9615931721194879,0.9441237591684464,0.9444971287076551,0.9615931721194879,0.8676925816348894,0.3407118320465088,MNAR,30,cpu,
3.4,polish_1year,logistic_regression,Classical,median,0.9608819345661451,0.9437438202363219,0.9380701179853372,0.9608819345661451,0.7054637847907078,0.019881725311279297,MNAR,30,cpu,
3.4,polish_1year,random_forest,Classical,median,0.9623044096728307,0.9457894995004559,0.9515577775321932,0.9623044096728307,0.8353262656147271,0.3674342632293701,MNAR,30,cpu,
3.4,polish_1year,logistic_regression,Classical,knn,0.9615931721194879,0.9441237591684464,0.9444971287076551,0.9615931721194879,0.7039639491562568,0.016587018966674805,MNAR,30,cpu,
3.4,polish_1year,random_forest,Classical,knn,0.9630156472261735,0.947409848908016,0.9554187981810176,0.9630156472261735,0.8071307253999562,0.4325387477874756,MNAR,30,cpu,
3.4,polish_1year,logistic_regression,Classical,mean,0.9615931721194879,0.9441237591684464,0.9444971287076551,0.9615931721194879,0.6435322156476002,0.025174856185913086,MNAR,40,cpu,
3.4,polish_1year,random_forest,Classical,mean,0.9615931721194879,0.9441237591684464,0.9444971287076551,0.9615931721194879,0.8145066294104756,0.33268284797668457,MNAR,40,cpu,
3.4,polish_1year,logistic_regression,Classical,median,0.9615931721194879,0.9441237591684464,0.9444971287076551,0.9615931721194879,0.6441211921981153,0.018991947174072266,MNAR,40,cpu,
3.4,polish_1year,random_forest,Classical,median,0.9623044096728307,0.9457894995004559,0.9515577775321932,0.9623044096728307,0.7824758930528161,0.3472633361816406,MNAR,40,cpu,
3.4,polish_1year,logistic_regression,Classical,knn,0.9615931721194879,0.9441237591684464,0.9444971287076551,0.9615931721194879,0.6644477317554242,0.018585920333862305,MNAR,40,cpu,
3.4,polish_1year,random_forest,Classical,knn,0.9630156472261735,0.947409848908016,0.9554187981810176,0.9630156472261735,0.7339469647161956,0.42096519470214844,MNAR,40,cpu,
3.4,slovak_manufacture_13,logistic_regression,Classical,mean,0.9914841849148418,0.9884558275998911,0.9854459133867369,0.9914841849148418,0.9867238562091504,0.0073337554931640625,native,0,cpu,
3.4,slovak_manufacture_13,random_forest,Classical,mean,0.9951338199513382,0.9946501800248372,0.9945344707583031,0.9951338199513382,0.9973447712418301,0.14589834213256836,native,0,cpu,
3.4,slovak_manufacture_13,logistic_regression,Classical,median,0.9914841849148418,0.9884558275998911,0.9854459133867369,0.9914841849148418,0.9953022875816994,0.008174896240234375,native,0,cpu,
3.4,slovak_manufacture_13,random_forest,Classical,median,0.9914841849148418,0.9910997098252653,0.9907602140642728,0.9914841849148418,0.9959150326797386,0.1581284999847412,native,0,cpu,
3.4,slovak_manufacture_13,logistic_regression,Classical,knn,0.9914841849148418,0.9910997098252653,0.9907602140642728,0.9914841849148418,0.991625816993464,0.006374835968017578,native,0,cpu,
3.4,slovak_manufacture_13,random_forest,Classical,knn,0.9951338199513382,0.9951338199513382,0.9951338199513382,0.9951338199513382,0.9971405228758169,0.14960980415344238,native,0,cpu,
3.4,slovak_manufacture_13,logistic_regression,Classical,mean,0.9914841849148418,0.9884558275998911,0.9854459133867369,0.9914841849148418,0.9867238562091504,0.00748133659362793,MCAR,5,cpu,
3.4,slovak_manufacture_13,random_forest,Classical,mean,0.9951338199513382,0.9946501800248372,0.9945344707583031,0.9951338199513382,0.9973447712418301,0.14986777305603027,MCAR,5,cpu,
3.4,slovak_manufacture_13,logistic_regression,Classical,median,0.9914841849148418,0.9884558275998911,0.9854459133867369,0.9914841849148418,0.9953022875816994,0.007961273193359375,MCAR,5,cpu,
3.4,slovak_manufacture_13,random_forest,Classical,median,0.9914841849148418,0.9910997098252653,0.9907602140642728,0.9914841849148418,0.9959150326797386,0.14757084846496582,MCAR,5,cpu,
3.4,slovak_manufacture_13,logistic_regression,Classical,knn,0.9914841849148418,0.9910997098252653,0.9907602140642728,0.9914841849148418,0.991625816993464,0.006606101989746094,MCAR,5,cpu,
3.4,slovak_manufacture_13,random_forest,Classical,knn,0.9951338199513382,0.9951338199513382,0.9951338199513382,0.9951338199513382,0.9971405228758169,0.13573455810546875,MCAR,5,cpu,
3.4,slovak_manufacture_13,logistic_regression,Classical,mean,0.9914841849148418,0.9884558275998911,0.9854459133867369,0.9914841849148418,0.9867238562091504,0.007376670837402344,MCAR,10,cpu,
3.4,slovak_manufacture_13,random_forest,Classical,mean,0.9951338199513382,0.9946501800248372,0.9945344707583031,0.9951338199513382,0.9973447712418301,0.14704036712646484,MCAR,10,cpu,
3.4,slovak_manufacture_13,logistic_regression,Classical,median,0.9914841849148418,0.9884558275998911,0.9854459133867369,0.9914841849148418,0.9953022875816994,0.007692813873291016,MCAR,10,cpu,
3.4,slovak_manufacture_13,random_forest,Classical,median,0.9914841849148418,0.9910997098252653,0.9907602140642728,0.9914841849148418,0.9959150326797386,0.14761972427368164,MCAR,10,cpu,
3.4,slovak_manufacture_13,logistic_regression,Classical,knn,0.9914841849148418,0.9910997098252653,0.9907602140642728,0.9914841849148418,0.991625816993464,0.006995439529418945,MCAR,10,cpu,
3.4,slovak_manufacture_13,random_forest,Classical,knn,0.9951338199513382,0.9951338199513382,0.9951338199513382,0.9951338199513382,0.9971405228758169,0.1480100154876709,MCAR,10,cpu,
3.4,slovak_manufacture_13,logistic_regression,Classical,mean,0.9914841849148418,0.9884558275998911,0.9854459133867369,0.9914841849148418,0.9867238562091504,0.0071027278900146484,MCAR,15,cpu,
3.4,slovak_manufacture_13,random_forest,Classical,mean,0.9951338199513382,0.9946501800248372,0.9945344707583031,0.9951338199513382,0.9973447712418301,0.14660930633544922,MCAR,15,cpu,
3.4,slovak_manufacture_13,logistic_regression,Classical,median,0.9914841849148418,0.9884558275998911,0.9854459133867369,0.9914841849148418,0.9953022875816994,0.008191823959350586,MCAR,15,cpu,
3.4,slovak_manufacture_13,random_forest,Classical,median,0.9914841849148418,0.9910997098252653,0.9907602140642728,0.9914841849148418,0.9959150326797386,0.13801169395446777,MCAR,15,cpu,
3.4,slovak_manufacture_13,logistic_regression,Classical,knn,0.9914841849148418,0.9910997098252653,0.9907602140642728,0.9914841849148418,0.991625816993464,0.006764411926269531,MCAR,15,cpu,
3.4,slovak_manufacture_13,random_forest,Classical,knn,0.9951338199513382,0.9951338199513382,0.9951338199513382,0.9951338199513382,0.9971405228758169,0.13379812240600586,MCAR,15,cpu,
3.4,slovak_manufacture_13,logistic_regression,Classical,mean,0.9914841849148418,0.9884558275998911,0.9854459133867369,0.9914841849148418,0.9867238562091504,0.008056640625,MCAR,20,cpu,
3.4,slovak_manufacture_13,random_forest,Classical,mean,0.9951338199513382,0.9946501800248372,0.9945344707583031,0.9951338199513382,0.9973447712418301,0.14738035202026367,MCAR,20,cpu,
3.4,slovak_manufacture_13,logistic_regression,Classical,median,0.9914841849148418,0.9884558275998911,0.9854459133867369,0.9914841849148418,0.9953022875816994,0.007745027542114258,MCAR,20,cpu,
3.4,slovak_manufacture_13,random_forest,Classical,median,0.9914841849148418,0.9910997098252653,0.9907602140642728,0.9914841849148418,0.9959150326797386,0.14808440208435059,MCAR,20,cpu,
3.4,slovak_manufacture_13,logistic_regression,Classical,knn,0.9914841849148418,0.9910997098252653,0.9907602140642728,0.9914841849148418,0.991625816993464,0.007114410400390625,MCAR,20,cpu,
3.4,slovak_manufacture_13,random_forest,Classical,knn,0.9951338199513382,0.9951338199513382,0.9951338199513382,0.9951338199513382,0.9971405228758169,0.1423330307006836,MCAR,20,cpu,
3.4,slovak_manufacture_13,logistic_regression,Classical,mean,0.9914841849148418,0.9884558275998911,0.9854459133867369,0.9914841849148418,0.9867238562091504,0.007427215576171875,MCAR,30,cpu,
3.4,slovak_manufacture_13,random_forest,Classical,mean,0.9951338199513382,0.9946501800248372,0.9945344707583031,0.9951338199513382,0.9973447712418301,0.1484835147857666,MCAR,30,cpu,
3.4,slovak_manufacture_13,logistic_regression,Classical,median,0.9914841849148418,0.9884558275998911,0.9854459133867369,0.9914841849148418,0.9953022875816994,0.008050680160522461,MCAR,30,cpu,
3.4,slovak_manufacture_13,random_forest,Classical,median,0.9914841849148418,0.9910997098252653,0.9907602140642728,0.9914841849148418,0.9959150326797386,0.13827276229858398,MCAR,30,cpu,
