dataset,missing_mechanism,missing_rate,imputation,model,model_type,accuracy,f1,precision,recall,roc_auc,balanced_accuracy,f1_macro,recall_class1,pr_auc,threshold,training_time_seconds,error
polish_1year,MCAR,5.0,mean,TabPFN,Foundation,0.9800853485064012,0.9815669829960164,0.9846560643146702,0.9800853485064012,0.994692362480824,0.9540872233179926,0.8854089046199702,0.925925925925926,0.9480047767940676,0.0553757846355438,162.90821266174316,
polish_1year,MCAR,5.0,mean,TabICL,Foundation,0.9836415362731152,0.984118173556731,0.9848361847707524,0.9836415362731152,0.994959456497918,0.9203785886478194,0.8957360029662589,0.8518518518518519,0.9296395930944824,0.0781719163060188,7.039947986602783,
polish_1year,MCAR,5.0,median,TabPFN,Foundation,0.9864864864864864,0.9870834615597728,0.988268599006854,0.9864864864864864,0.9946307253999562,0.9574156256848564,0.9166404029120004,0.925925925925926,0.9449112147697628,0.0699377506971359,164.09314608573914,
polish_1year,MCAR,5.0,median,TabICL,Foundation,0.9431009957325748,0.9517892505508604,0.965730695939236,0.9431009957325748,0.9297200306815692,0.8459620863467017,0.7349170437405732,0.7407407407407407,0.6272350485593573,0.0385224185883998,7.012529850006104,
polish_1year,MCAR,5.0,knn,TabPFN,Foundation,0.9886201991465148,0.988181791479416,0.9881756302001288,0.9886201991465148,0.9825498575498576,0.8874095989480605,0.9170501474926254,0.7777777777777778,0.906097199349682,0.1774469166994094,165.88250589370728,
polish_1year,MCAR,5.0,knn,TabICL,Foundation,0.9743954480796586,0.9754328652802612,0.9768825602113996,0.9743954480796586,0.9712634231865,0.8711237124698663,0.8407761126420294,0.7592592592592593,0.8097958972611662,0.0542933493852615,6.365143537521362,
polish_1year,MCAR,5.0,mice,TabPFN,Foundation,0.9893314366998578,0.9898027328103468,0.9908844909904608,0.9893314366998578,0.9974523339907956,0.9766737891737892,0.9341897917726318,0.9629629629629628,0.9628283308609064,0.0785570442676544,156.41829681396484,
polish_1year,MCAR,5.0,mice,TabICL,Foundation,0.9921763869132292,0.9922108278374264,0.9922513442011668,0.9921763869132292,0.996411352180583,0.9514847687924612,0.947506508229049,0.9074074074074074,0.9596248753234166,0.1180344820022583,6.339619874954224,
polish_1year,MCAR,5.0,mice_indicator,TabPFN,Foundation,0.9893314366998578,0.9897239521299672,0.9905364021835392,0.9893314366998578,0.9966168091168092,0.9677843523997368,0.933114504543076,0.9444444444444444,0.9628433992773195,0.0710275843739509,425.49769830703735,
polish_1year,MCAR,5.0,mice_indicator,TabICL,Foundation,0.9914651493598862,0.9916112352954458,0.9918491142971048,0.9914651493598862,0.9972331799254875,0.960004383081306,0.9442063492063492,0.925925925925926,0.9594290893682824,0.098492793738842,13.783541202545166,
