dataset,missing_mechanism,missing_rate,imputation,model,model_type,accuracy,f1,precision,recall,roc_auc,balanced_accuracy,f1_macro,recall_class1,pr_auc,threshold,training_time_seconds,error
polish_1year,,,mice,Gradient-Boosting,Classical,,,,,,,,,,,,Input X contains infinity or a value too large for dtype('float32').
polish_1year,,,mice,XGBoost,Classical,,,,,,,,,,,,"[21:05:39] C:\actions-runner\_work\xgboost\xgboost\src\data\gradient_index.h:99: Check failed: valid: Input data contains `inf` or a value too large, while `missing` is not set to `inf`"
polish_1year,,,mice,LightGBM,Classical,0.9011379800853484,0.9257152672637432,0.968823213488932,0.9011379800853484,0.9791392724085032,0.9130369274600044,0.6821937500304904,0.925925925925926,0.8128418649366953,0.0073286427056796,1.9385325908660889,
polish_1year,,,mice,SVM,Classical,0.4580369843527738,0.5927036673169988,0.9448365459423232,0.4580369843527738,0.6990398312513697,0.6115220249835635,0.355850883458511,0.7777777777777778,0.0952357056253028,0.040322872535512,9.827133893966677,
polish_1year,,,mice,MLP,Classical,0.957325746799431,0.940628204704092,0.9245031497663078,0.957325746799431,0.4735645408722331,0.4977810650887574,0.4890988372093023,0.0,0.0353241234112053,0.3100574145048068,0.9092109203338624,
polish_1year,,,mice,TabPFN,Foundation,,,,,,,,,,,,Input X contains infinity or a value too large for dtype('float32').
polish_1year,,,mice,TabICL,Foundation,0.9544807965860598,0.9614314004406884,0.9745468209023322,0.9544807965860598,0.9838784790707868,0.9229947403024326,0.7879336349924585,0.8888888888888888,0.8788446291785307,0.0406463705003261,6.43663215637207,
polish_1year,,,mice,CatBoost,Classical,0.918918918918919,0.9366806471471584,0.9670817253919748,0.918918918918919,0.9746329169406092,0.8867247424939733,0.7014283691853751,0.8518518518518519,0.8141637143350106,0.0272103428782224,2.8951621055603027,
polish_1year,,,mice_indicator,Logistic-Regression,Classical,0.9238975817923186,0.9381884292280602,0.960001418332902,0.9238975817923186,0.892422748191979,0.8093085689239536,0.684085415918574,0.6851851851851852,0.4381850896670353,0.5911869551001884,0.6113934516906738,
polish_1year,,,mice_indicator,Random-Forest,Classical,,,,,,,,,,,,Input X contains infinity or a value too large for dtype('float32').
polish_1year,,,mice_indicator,Gradient-Boosting,Classical,,,,,,,,,,,,Input X contains infinity or a value too large for dtype('float32').
polish_1year,,,mice_indicator,XGBoost,Classical,,,,,,,,,,,,"[21:06:12] C:\actions-runner\_work\xgboost\xgboost\src\data\gradient_index.h:99: Check failed: valid: Input data contains `inf` or a value too large, while `missing` is not set to `inf`"
polish_1year,,,mice_indicator,LightGBM,Classical,0.933854907539118,0.947179428672728,0.9715411375934012,0.933854907539118,0.9844674556213018,0.9211593250054788,0.7388031825109715,0.9074074074074074,0.8356650493140225,0.0102046975406606,1.900538444519043,
polish_1year,,,mice_indicator,SVM,Classical,0.7716927453769559,0.8415184956619517,0.9601522130753796,0.7716927453769559,0.9094551282051282,0.8190609248301556,0.5462943136752265,0.8703703703703703,0.3965238171283256,0.0367147925812953,5.473476409912109,
polish_1year,,,mice_indicator,MLP,Classical,0.8577524893314367,0.8966113246482414,0.9569821082203356,0.8577524893314367,0.8863549200087663,0.8015833881218497,0.6033626720830512,0.7407407407407407,0.5819704509506778,0.0487433382401834,1.4015369415283203,
polish_1year,,,mice_indicator,TabPFN,Foundation,,,,,,,,,,,,Input X contains infinity or a value too large for dtype('float32').
polish_1year,,,mice_indicator,TabICL,Foundation,0.9416785206258892,0.9528798649124032,0.974399667140139,0.9416785206258892,0.9837278106508875,0.9430062458908612,0.7615726953874661,0.9444444444444444,0.8737716386644973,0.0345898158848285,17.14347195625305,
polish_1year,,,mice_indicator,CatBoost,Classical,0.9210526315789472,0.938261705795545,0.9681841473423142,0.9210526315789472,0.9621685294762218,0.8967236467236468,0.7079794549383929,0.8703703703703703,0.8009142764916821,0.020413136470586,2.9353373050689697,
polish_1year,,,none,Logistic-Regression,Classical,,,,,,,,,,,,skipped: classical model cannot consume NaN
polish_1year,,,none,Random-Forest,Classical,,,,,,,,,,,,skipped: classical model cannot consume NaN
polish_1year,,,none,Gradient-Boosting,Classical,,,,,,,,,,,,skipped: classical model cannot consume NaN
polish_1year,,,none,XGBoost,Classical,0.9445234708392604,0.9543508991834388,0.97246946545465,0.9445234708392604,0.979413214990138,0.9178172255095332,0.7610781417479282,0.8888888888888888,0.8283989753419295,0.0121164480224251,1.0613210201263428,
polish_1year,,,none,LightGBM,Classical,0.871977240398293,0.9073057917913524,0.9695480714778908,0.871977240398293,0.979947403024326,0.9245425158886698,0.6496852316329751,0.9814814814814816,0.8219374911484383,0.0031614068132079,2.494569063186645,
polish_1year,,,none,SVM,Classical,,,,,,,,,,,,skipped: classical model cannot consume NaN
polish_1year,,,none,MLP,Classical,,,,,,,,,,,,skipped: classical model cannot consume NaN
polish_1year,,,none,TabPFN,Foundation,0.9900426742532006,0.9903712568330983,0.9910394720454144,0.9900426742532006,0.9968770545693624,0.968154174884944,0.9370587332446536,0.9444444444444444,0.9550567801493198,0.1185985505580902,156.38358879089355,
polish_1year,,,none,TabICL,Foundation,0.9886201991465148,0.989081273457894,0.9900490009285308,0.9886201991465148,0.9978906421214114,0.96741452991453,0.929233827840902,0.9444444444444444,0.9700733638225132,0.0410075597465038,6.665058374404907,
